,Price,TestedBatteryLifeHoursMinutes,OperatingSystem,Weight,DimensionsHwd,WirelessNetworking,ScreenRefreshRate,VariableRefreshSupport,PanelTechnology,TouchScreen,NativeDisplayResolution,ScreenSize,BootDriveCapacityAsTested,BootDriveType,RamAsTested,ProcessorSpeed,Processor,LaptopClass,EditorsRating,Name
0,$708.99,29:01,Apple macOS,2.8 lbs,0.63 by 11.97 by 8.36 inches,"802.11ax, Bluetooth",60 Hz,None,IPS,,2560 by 1600,13.3 inches,256 GB,SSD,8 GB,3.2 GHz,Apple M1,Ultraportable,Editors' Choice;4.5;Editor Review,Apple MacBook Air (M1; Late 2020)
1,"$2,499.00",26:51,Apple macOS Ventura,4.8 lbs,0.66 by 14 by 9.8 inches,"Wi-Fi 6E, Bluetooth 5.3",120 Hz,ProMotion,Mini LED,,3456 by 2234,16.2 inches,4 TB,SSD,96 GB,,Apple M2 Max,"Business, Workstation",Editors' Choice;5.0;Editor Review,Apple MacBook Pro 16-Inch (2023; M2 Max)
2,"$1,952.30",15:04,Windows 11 Pro,2.2 lbs,0.64 by 11.7 by 8.7 inches,"Wi-Fi 6E, Bluetooth",60 Hz,None,IPS,,1920 by 1280,13.5 inches,512 GB,SSD,16 GB,,Intel Core i7-1265U,"Ultraportable, Business",4.0;Editor Review,HP Elite Dragonfly G3
3,"$1,199.99",21:16,Windows 11,1.95 lbs,0.37 by 11.3 by 8.2 inches,"Wi-Fi 6E, Bluetooth, 5G",120 Hz,None,IPS,,2880 by 1920,13 inches,256 GB,SSD,16 GB,2.4 GHz,Microsoft SQ3,Detachable 2-in-1,3.5;Editor Review,Microsoft Surface Pro 9 (SQ3)
4,"$1,389.99",15:00,Windows 11 Home,5.12 pounds,0.78 by 14.1 by 9.9 inches,"Wi-Fi 6E, Bluetooth",60 Hz,None,OLED,,3840 by 2400,16 inches,1 TB,SSD,16 GB,,Intel Core i7-12700H,Desktop Replacement,Editors' Choice;4.5;Editor Review,HP Envy 16
5,$699.00,19:11,Windows 11,2.91 lbs,0.72 by 12.13 by 8.12 inches,"802.11ax (Wi-Fi 6), Bluetooth",60 Hz,None,IPS,,1920 by 1080,13.3 inches,512 GB,SSD,16 GB,1.8 GHz,AMD Ryzen 7 5700U,Convertible 2-in-1,4.0;Editor Review,Lenovo Yoga 6 (13-Inch)
6,$568.00,16:47,,2.71 lbs,0.63 by 12.7 by 8.4 inches,"802.11ax, Bluetooth",60 Hz,None,IPS,,"1,920 by 1,080",14 inches,512 GB,SSD,16 GB,2.8 GHz,Intel Core i7-1165G7,Ultraportable,3.5;Editor Review,Acer Swift 3 (2021)
7,"$1,399.99",19:45,Windows 10 Home,3.3 lbs,0.71 by 12.3 by 8.8 inches,"802.11ax (Wi-Fi 6), Bluetooth",60 Hz,None,IPS,,1920 by 1200,14 inches,256 GB,SSD,16 GB,2.4 GHz,Intel Core i5-1135G7,Ultraportable,4.0;Editor Review,HP Envy 14
8,"$1,699.99",20:09,Windows 11,2.98 lbs,0.7 by 14.9 by 10.2 inches,"Wi-Fi 6E, Bluetooth",60 Hz,None,IPS,,2560 by 1600,17 inches,1 TB,SSD,16 GB,,Intel Core i7-1260P,Ultraportable,Editors' Choice;4.0;Editor Review,LG Gram 17 (2022)
9,"$2,899.00",21:37,Windows 10 Pro,4.9 lbs,2.1 by 11.3 by 9.3 inches,"802.11ax (Wi-Fi 6), Bluetooth",60 Hz,None,IPS,,1920 by 1200,10.1 inches,512 GB,SSD,16 GB,1.7 GHz,Intel Core i5-10310U,"Rugged, Detachable 2-in-1",4.0;Editor Review,Panasonic Toughbook G2
