,Name,Price,TestedBatteryLifeHoursMinutes,OperatingSystem,Weight,DimensionsHwd,WirelessNetworking,ScreenRefreshRate,VariableRefreshSupport,PanelTechnology,TouchScreen,NativeDisplayResolution,ScreenSize,BootDriveCapacityAsTested,BootDriveType,RamAsTested,ProcessorSpeed,Processor,LaptopClass,EditorsRating
0,HP Envy 16,"$1,389.99",15:00,Windows 11 Home,5.12 pounds,0.78 by 14.1 by 9.9 inches,"Wi-Fi 6E, Bluetooth",60 Hz,None,OLED,,3840 by 2400,16 inches,1 TB,SSD,16 GB,,Intel Core i7-12700H,Desktop Replacement,4.5
1,Dell XPS 15 OLED (9520),"$2,099.00",12:47,Windows 11,4.31 lbs,0.73 by 13.6 by 9.1 inches,Wi-Fi 6E,60 Hz,None,OLED,,3456 by 2160,15.6 inches,512 GB,SSD,16 GB,,Intel Core i7-12700H,Desktop Replacement,4.5
2,Acer Predator Triton 300 SE (2022),"$1,369.99",10:03,Windows 11,3.75 lbs,0.78 by 12.3 by 8.9 inches,"802.11ax (Wi-Fi 6), Bluetooth",90 Hz,None,OLED,,2800 by 1800,14 inches,1 TB,SSD,32 GB,,Intel Core i9-12900H,Gaming,4.0
3,Asus Zenbook S 13 Flip OLED,"$1,499.99",13:51,Windows 11 Home,2.43 lbs,0.59 by 11.67 by by 8.26 inches,"Wi-Fi 6E, Bluetooth 5.2",60 Hz,None,OLED,,2880 by 1800,13.3 inches,1 TB,SSD,16 GB,,Intel Core i7-1260P,"Convertible 2-in-1, Ultraportable",4.0
4,HP Spectre x360 13.5 (2022),$999.99,15:10,Windows 11 Pro,3.01 lbs,0.67 by 11.7 by 8.7 inches,"Wi-Fi 6E, Bluetooth",60 Hz,None,OLED,,3000 by 2000,13.5 inches,1 TB,SSD,16 GB,,Intel Core i7-1255U,Convertible 2-in-1,4.0
5,Lenovo IdeaPad Duet 5 Chromebook,$379.00,21:10,Google Chrome OS,2.24 lbs,0.28 by 12 by 7.4 inches,"802.11ax (Wi-Fi 6), Bluetooth",60 Hz,None,OLED,,1920 by 1080,13.3 inches,128 GB,eMMC Flash Memory,8 GB,2.55 GHz,Qualcomm Snapdragon 7c Gen 2,"Chromebook, Detachable 2-in-1",4.0
6,Asus ProArt Studiobook 16 OLED (H5600),"$1,649.99",6:04,Windows 10,5.29 lbs,0.77 by 14.25 by 10.4 inches,"802.11ax (Wi-Fi 6), Bluetooth",60 Hz,None,OLED,,3840 by 2400,16 inches,2 TB,SSD,32 GB,3.3 GHz,AMD Ryzen 9 5900HX,Desktop Replacement,4.0
7,Gigabyte Aero 15 OLED XC,"$3,289.99",8:45,Windows 10 Pro,4.4 lbs,0.78 by 14 by 9.8 inches,"802.11ax (Wi-Fi 6), Bluetooth",60 Hz,None,OLED,,3840 by 2160,15.6 inches,1 TB,SSD,32 GB,2.2 GHz,Intel Core i7-10870H,Desktop Replacement,4.5
8,Asus Vivobook Pro 16X OLED,"$1,358.99",14:33,Windows 10,4.19 lbs,0.74 by 14.19 by 10.19 inches,"802.11ax (Wi-Fi 6), Bluetooth",60 Hz,None,OLED,,3840 by 2400,16 inches,1 TB,SSD,32 GB,3.3 GHz,AMD Ryzen 9 5900HX,Desktop Replacement,4.0
9,Asus ZenBook Pro Duo,"$3,299.99",5:22,Windows 10 Pro,5.5 lbs,0.94 by 14.1 by 9.7 inches,"802.11ax, Bluetooth",60 Hz,None,OLED,,3840 by 2160,15.6 inches,1 TB,SSD,32 GB,2.4 GHz,Intel Core i9-9980HK,Desktop Replacement,4.0
10,Lenovo IdeaPad Slim 7 Carbon,"$1,259.99",13:56,Windows 11 Home,2.42 lbs,0.59 by 12.3 by 8.5 inches,"802.11ax (Wi-Fi 6), Bluetooth",90 Hz,None,OLED,,2880 by 1800,14 inches,512 GB,SSD,16 GB,1.9 GHz,AMD Ryzen 7 5800U,Ultraportable,4.0
